país,año,ln_pib,Erogaciones.totales_pib,Servicios.públicos.generales_pib,Defensa_pib,Orden.público.y.seguridad_pib,Asuntos.económicos_pib,Protección.del.medio.ambiente_pib,Vivienda.y.servicios.comunitarios_pib,Salud_pib,Actividades.recreativas..cultura.y.religión_pib,Educación_pib,Protección.social_pib,Consumo.final.de.los.hogares_pib,Formación.bruta.de.capital.fijo_pib,Exportaciones_pib,Importaciones_pib,Comercio_pib,Control.de.Corrupción,Efectividad.Gubernamental,Estabilidad.Política.y.Ausencia.de.Violencia,Estado.de.Derecho,Calidad.Regulatoria,Voz.y.Rendición.de.Cuentas,Gasto_Seguridad_Admin_pib,Gasto_Desarrollo_Social_pib,Gasto_Economico_Ambiental_pib,PC1,PC2,PC3,dummy_2000,dummy_2001,dummy_2002,dummy_2003,dummy_2004,dummy_2005,dummy_2006,dummy_2007,dummy_2008,dummy_2009,dummy_2010,dummy_2011,dummy_2012,dummy_2013,dummy_2014,dummy_2015,dummy_2016,dummy_2017,dummy_2018,dummy_2019,dummy_2020,dummy_2021,dummy_2022
Albania,2020,28.030615453603215,0.35831239375201995,0.05588732711145448,0.00845605143191062,0.021684578891740396,0.039348972006727614,0.0035525216045874833,0.03468057856697553,0.034596063854091724,0.004588277810550865,0.036312752613863575,0.11920526986011765,0.8279092987859775,0.27981662871335294,0.2508261375928453,0.39263573031526156,-0.1418095927224163,-0.5735387802124023,-0.15512122213840485,0.08861251920461655,-0.3780282139778137,0.22196723520755768,0.08632544428110123,0.0860279574351055,0.19011408632807295,0.0821703499888415,0.8034963011612553,-0.3045728620159856,0.7361264203586813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Albania,2021,28.116513784144473,0.3654898543873594,0.05599250352832187,0.008636432358397953,0.02132517840671148,0.044758824537205366,0.003373168161705775,0.0404833292834826,0.03912030334211079,0.004642002622199812,0.03594146134460339,0.11121665080262039,0.8235844157372278,0.31257930737049683,0.35009775171065544,0.47727148018408133,-0.1271737284734259,-0.5771799683570862,-0.03598502278327942,0.196371927857399,-0.28071627020835876,0.17585939168930054,0.0855889618396759,0.0859541142934313,0.18627841548933458,0.09325732460459354,0.885284403405683,-0.18480489007757306,0.7352611249043074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Albania,2022,28.163651997111117,0.24975966317816087,0.015328168605214191,0.008647369342567084,0.010326000200775414,1.9844703625876117e-8,0.0013077977386871987,0.010700434084319614,0.02746316993730304,0.0014901807966369472,0.047127149968753494,0.10917816439778236,0.900544626650952,0.32439599211892883,0.390895797208969,0.5077332756559112,-0.11683747844694217,-0.40818944573402405,0.06454053521156311,0.10626131296157837,-0.16558510065078735,0.1593538224697113,0.14174018800258636,0.03430153814855669,0.18376848430383888,0.013498432464347386,-0.0023992304951768184,-0.7748557077234901,0.5393966136619117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Alemania,2000,28.586473279968132,3.936560279342159e-7,5.591331449827321e-8,9.039766639643501e-9,1.2724215820187501e-8,4.37679791475208e-8,5.697645444346829e-9,7.629683050973044e-9,5.270273956247608e-8,1.0153678825347168e-8,3.30400355109666e-8,1.6298696943448118e-7,0.4567201509423016,0.18744534238493862,0.26135298549624714,0.25341613500585536,0.0079368504903918,1.8015453815460205,1.8045316934585571,1.4113357067108154,1.6094188690185547,1.4561434984207153,1.3148020505905151,7.767729695810422e-8,2.4872974450792384e-7,6.724898646818784e-8,-1.1503478628651977,0.1363523328729304,-0.15207095305280607,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alemania,2001,28.60270622010254,3.9593990541797514e-7,5.522190564281825e-8,8.736019338661552e-9,1.308207921065901e-8,4.2181455358136226e-8,5.601361212594422e-9,7.927661285144785e-9,5.393254427187648e-8,1.0030300491764243e-8,3.4215192705267327e-8,1.6501138590105283e-7,0.46423972737885466,0.17900097569801016,0.27122525136414033,0.25115141768037813,0.020073833683762227,NA,NA,NA,NA,NA,NA,7.70400041921388e-8,2.5315912287819663e-7,6.574077834763968e-8,-1.1503478508757363,0.13635229887297817,-0.1520709433579131,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alemania,2002,28.600420507357352,4.068631639594132e-7,5.6247996606069697e-8,8.851596525721508e-9,1.3489429518522197e-8,4.206822145518492e-8,5.118419759945408e-9,8.492768521207772e-9,5.606061707728557e-8,1.022659812864148e-8,3.493376486226857e-8,1.713737515045661e-7,0.46475850731347784,0.16771340240989638,0.2827557726594623,0.24391379275839972,0.03884197990106257,1.8887436389923096,1.6600180864334106,1.0960174798965454,1.634389877319336,1.5109431743621826,1.4140313863754272,7.85890226503134e-8,2.623681334441202e-7,6.590600786497958e-8,-1.1503478105740677,0.13635220800967568,-0.15207091116733262,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alemania,2003,28.595107126380405,4.145459349733175e-7,5.626852433471479e-8,9.074547456547309e-9,1.3570446709087241e-8,4.1429768811891516e-8,5.110605749155231e-9,8.870916396254153e-9,5.758869424245807e-8,1.0114438657707309e-8,3.535858882888149e-8,1.771594037866204e-7,0.47617979454834075,0.16460825637371967,0.28894116616817556,0.2572619419706054,0.03167922419757011,1.8757613897323608,1.357405185699463,0.5778592228889465,1.6375846862792969,1.5018779039382935,1.413554310798645,7.891351850034934e-8,2.7010668685795996e-7,6.552572961500821e-8,-1.150347777077779,0.13635215403546608,-0.1520708779761134,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alemania,2004,28.60666377302547,4.060053341067343e-7,5.4949136153991326e-8,8.693975401862182e-9,1.3449576931080587e-8,3.907954005537886e-8,4.833253234594038e-9,8.77690440760315e-9,5.500454780782733e-8,9.894561234975738e-9,3.516943743469223e-8,1.7615440144472883e-7,0.4788196397974866,0.1627719216182932,0.3174010912816341,0.271818454233112,0.04558263704852201,1.8400654792785645,1.4671474695205688,0.6388843655586243,1.6202044486999512,1.4695730209350586,1.4960401058197021,7.709268848693409e-8,2.663283866872484e-7,6.258425893255179e-8,-1.1503478402779725,0.1363521470218905,-0.1520709363623255,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alemania,2005,28.61548175247868,4.072657483166104e-7,5.476937483588766e-8,9.028280251867908e-9,1.3496275751261048e-8,3.8600820792967494e-8,4.702641859454931e-9,8.381508198895043e-9,5.591122081733485e-8,9.74268127167387e-9,3.522609798392595e-8,1.7740684655334163e-7,0.48340774487526,0.16305904364510476,0.33522077771398817,0.28556654818121496,0.049654229532773216,1.8754422664642334,1.5005247592926025,0.8889153599739075,1.6521981954574585,1.5151065587997437,1.4858338832855225,7.729393083901662e-8,2.685441653546024e-7,6.142765212299134e-8,-1.150347843623787,0.1363521141658071,-0.1520709344368183,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alemania,2006,28.653314350262896,3.95484662549742e-7,5.339043304190476e-8,9.194255514204107e-9,1.313336584543829e-8,3.6854372382984604e-8,4.739236495876143e-9,7.79475426399852e-9,5.511408612409883e-8,9.590001369018027e-9,3.470331377759149e-8,1.709708437346272e-7,0.47782426464024386,0.1698803840201354,0.3613185924780462,0.30418305091831627,0.057135541559729976,1.793642520904541,1.6459760665893555,1.0250695943832397,1.7700861692428589,1.5689088106155396,1.365230917930603,7.571805440154715e-8,2.6078824363631754e-7,5.8978364511877294e-8,-1.1503478936824771,0.13635216132853,-0.15207097087583815,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
